budgetline,fmsnumber,managingagency,projectid,description,costdescription,citycost,noncitycost,plancommdate
ED-410,801 244,801,SUNSETPAR,"Sunset Park Waterfront Redevelopment",CONS,"",500,0,06/17
ED-831,801 245,801,GOVISBLDG,"Governors Island Building Stabilization",CONS,"",5167,0,06/17
ED-831,801 245,801,GOVISBLDG,"Governors Island Building Stabilization",CONS,"",2000,0,06/18
ED-831,801 245,801,GOVISBLDG,"Governors Island Building Stabilization",CONS,"",2000,0,06/19
ED-831,801 245,801,GOVISBLD2,"Governors Island Building Stabilization",CONS,"",1232,0,06/17
ED-831,801 245,801,GOVISBLD2,"Governors Island Building Stabilization",CONS,"",4401,0,06/18
ED-831,801 245,801,GOVISLND2,"Governors Island Infrastructure Improvements",CONS,"",664,0,06/18
ED-831,801 245,801,GOVISLND2,"Governors Island Infrastructure Improvements",CONS,"",4000,0,06/19
ED-831,801 245,801,GOVISLND2,"Governors Island Infrastructure Improvements",CONS,"",4000,0,06/21
ED-831,801 245,801,GOVISLND2,"Governors Island Infrastructure Improvements",CONS,"",4000,0,06/22
ED-831,801 245,801,GOVISLND2,"Governors Island Infrastructure Improvements",CONS,"",4000,0,06/23
ED-831,801 245,801,GOVISLND2,"Governors Island Infrastructure Improvements",CONS,"",4000,0,06/24
ED-831,801 245,801,GOVISLND2,"Governors Island Infrastructure Improvements",CONS,"",4000,0,06/25
ED-831,801 245,801,GOVISLND2,"Governors Island Infrastructure Improvements",CONS,"",300,0,06/17
ED-831,801 245,801,GOVISLND2,"Governors Island Infrastructure Improvements",CONS,"",6375,0,06/20
ED-831,801 245,801,GOVISLND2,"Governors Island Infrastructure Improvements",CONS,"",4124,0,06/26
ED-831,801 245,801,GOVISLND2,"Governors Island Infrastructure Improvements",CONS,"",4252,0,06/27
ED-831,801 245,801,GOVISOPCT,"Governors Island Operations Center",CONS,"",200,0,06/17
ED-831,801 245,801,GOVISOPCT,"Governors Island Operations Center",CONS,"",2800,0,06/18
ED-831,801 245,801,GOVISPUMP,"Governors Island Sewage Pump House",CONS,"",1500,0,06/17
ED-831,801 245,801,GOVISSSN2,"Governors Island Soissons Dock 2",CONS,"",2896,0,06/17
ED-831,801 245,801,GOVISSSN2,"Governors Island Soissons Dock 2",CONS,"",2000,0,06/18
ED-831,801 245,801,GOVISWLL2,"Governors Island Seawall Rehabilitation",CONS,"",4576,0,06/19
ED-831,801 245,801,GOVISWTR2,"Governors Island Potable Water System",CONS,"",1000,0,06/18
ED-831,801 245,801,GOVISWTR2,"Governors Island Potable Water System",CONS,"",1000,0,06/19
EP-D004,826 D04,826,SE-BB2,"LAND ACQUISITION in 2nd S.I. Bluebelt Area",SITE,"ACQUISITION",242,0,06/17
EP-D004,826 D04,826,SE-BB2,"LAND ACQUISITION in 2nd S.I. Bluebelt Area",CTGY,"",300,0,06/17
EP-4,826 251,111,SAMPLSTAT,"DWQC Water Sampling Stations (in City)",EQFN,"",125,0,06/23
EP-4,826 251,111,SAMPLSTAT,"DWQC Water Sampling Stations (in City)",EQFN,"",203,0,06/17
EP-4,826 251,111,SAMPLSTAT,"DWQC Water Sampling Stations (in City)",EQFN,"",199,0,06/18
EP-4,826 251,111,SAMPLSTAT,"DWQC Water Sampling Stations (in City)",EQFN,"",125,0,06/24
EP-4,826 251,111,SAMPLSTAT,"DWQC Water Sampling Stations (in City)",EQFN,"",125,0,06/18
EP-4,826 251,111,SAMPLSTAT,"DWQC Water Sampling Stations (in City)",EQFN,"",125,0,06/19
EP-4,826 251,111,SAMPLSTAT,"DWQC Water Sampling Stations (in City)",EQFN,"",125,0,06/20
EP-4,826 251,111,SWEMS,"Snow Water Equivalent Monitoring System",EQFN,"",202,0,06/17
EP-4,826 251,826,WQMON-ENT,"Above ground monitoring stations",CONS,"",1500,0,06/18
EP-4,826 251,826,WQMON-ENT,"Above ground monitoring stations",CONS,"",2000,0,06/18
EP-4,826 251,826,WQMON-ENT,"Above ground monitoring stations",CONS,"",1500,0,06/18
EP-4,826 251,826,WQMON-ENT,"Above ground monitoring stations",IFDS,"",500,0,06/17
EP-4,826 251,826,WQMON-ENT,"Above ground monitoring stations",IFSP,"",500,0,06/18
EP-4,826 251,826,WQMON-ENT,"Above ground monitoring stations",IFSP,"",500,0,06/19
EP-4,826 251,826,WQMON-ENT,"Above ground monitoring stations",IFSP,"",500,0,06/20
EP-4,826 251,826,WQMON-ENT,"Above ground monitoring stations",IFSP,"",500,0,06/21
EP-4,826 251,826,WQMON-ENT,"Above ground monitoring stations",IFSP,"",500,0,06/22
EP-4,826 251,826,WQMON-ENT,"Above ground monitoring stations",IFSP,"",500,0,06/23
EP-4,826 251,826,WQMON-ENT,"Above ground monitoring stations",IFSP,"",500,0,06/24
EP-4,826 251,826,WQMON-ENT,"Above ground monitoring stations",IFSP,"",500,0,06/25
EP-4,826 251,826,WQMON-ENT,"Above ground monitoring stations",IFSP,"",500,0,06/24
EP-4,826 251,826,WQMON-ENT,"Above ground monitoring stations",IFSP,"",500,0,06/25
EP-5,826 252,111,FISA4DEP,"FISA FMS Advantage 3.0 upgrade for DEP",SVCS,"",180,0,06/17
EP-5,826 252,111,FISA4DEP,"FISA FMS Advantage 3.0 upgrade for DEP",SVCS,"",180,0,06/18
EP-5,826 252,826,DEP_EMAIL,"Email Archiving Migration",EQFN,"",1000,0,06/18
EP-5,826 252,826,DEP_POD,"Performance Optimized Data Center (POD)",EQFN,"",10982,0,06/17
EP-5,826 252,826,DEP_POD,"Performance Optimized Data Center (POD)",CTGY,"",2000,0,06/17
EP-5,826 252,826,DEP_VIDEO,"Video Conferencing Agency Wide Telecommunication System",EQFN,"",57,0,06/17
EP-5,826 252,826,MIS-DEP,"COMPUTER EQUIPMENT FUNDS",EQFN,"",7000,0,06/23
EP-5,826 252,826,MIS-DEP,"COMPUTER EQUIPMENT FUNDS",EQFN,"",7787,0,06/21
EP-5,826 252,826,MIS-DEP,"COMPUTER EQUIPMENT FUNDS",EQFN,"",7000,0,06/18
EP-5,826 252,826,PW-PAGING,"REPLACE TELEPHONE & PAGING SYSTEM AT ALL WPCPS",EQFN,"",2500,0,06/18
EP-5,826 252,826,PW-ROUTER,"INSTALL NEW ROUTERS, SWITCHES AND WIRELESS ANTENNAS WPCPS",EQFN,"",1500,0,06/18
EP-5,826 252,826,SANDHILLV,"HILLVIEW RESERVOIR SECURITY FENCE IMPROVEMENTS",CONS,"",6,0,06/17
EP-5,826 252,826,SANDHILLV,"HILLVIEW RESERVOIR SECURITY FENCE IMPROVEMENTS",CONS,"",0,568,06/17
EP-5,826 252,826,SECURITY,"Security Systems Design and Installation",EQFN,"",20000,0,06/18
EP-5,826 252,826,VOIP-SYS,"Installation of VOIP system at BWS Sutton Park office",EQFN,"",270,0,06/17
EP-6,826 254,826,AIR-MON,"Air Monitoring Analysis",CONS,"",250,0,06/18
EP-6,826 254,826,AIR-MON1,"Air Monitoring Analysis",CONS,"",1500,0,06/19
EP-6,826 254,826,AIR-MON2,"Air Monitoring Analysis",CONS,"",1500,0,06/23
EP-6,826 254,826,ASB-REM,"Asbestos Removal",CONS,"",750,0,06/18
EP-6,826 254,826,ASB-REM,"Asbestos Removal",CONS,"",2000,0,06/20
EP-6,826 254,826,ASB-REM,"Asbestos Removal",CONS,"",750,0,06/19
EP-6,826 254,826,ASB-REM,"Asbestos Removal",CONS,"",3000,0,06/22
EP-6,826 254,826,ASB-REM,"Asbestos Removal",CONS,"",500,0,06/17
EP-6,826 254,826,BWS-LEAD,"LEAD PAINT REMOVAL AT BWS FACILITIES",CONS,"",4443,0,06/18
EP-6,826 254,826,BWSOFAC,"BWSO FACILITIES - NOT YET FUNDED-HOLDING CODE",CONS,"",5000,0,06/18
EP-6,826 254,826,BWSOFAC,"BWSO FACILITIES - NOT YET FUNDED-HOLDING CODE",CONS,"",20000,0,06/20
EP-6,826 254,826,FACIL-DEP,"DEP FACILITIES MANAGEMENT CITYWIDE",EQFN,"",1780,0,06/19
EP-6,826 254,826,FACIL-DEP,"DEP FACILITIES MANAGEMENT CITYWIDE",EQFN,"",5000,0,06/22
EP-6,826 254,826,FACIL-DEP,"DEP FACILITIES MANAGEMENT CITYWIDE",EQFN,"",3000,0,06/18
EP-6,826 254,826,FMC-LEAD,"LEAD PAINT ABATEMENT & REMOVAL",CONS,"",750,0,06/18
EP-6,826 254,826,FMC-LEAD,"LEAD PAINT ABATEMENT & REMOVAL",CONS,"",750,0,06/19
EP-6,826 254,826,FMC-LEAD,"LEAD PAINT ABATEMENT & REMOVAL",CONS,"",2000,0,06/20
EP-6,826 254,826,FMC-LEAD,"LEAD PAINT ABATEMENT & REMOVAL",CONS,"",2000,0,06/24
EP-6,826 254,826,FMC-LEAD,"LEAD PAINT ABATEMENT & REMOVAL",CONS,"",1500,0,06/25
EP-6,826 254,826,JOC-CS2-L,"CONSULTANT SERVICES FOR JOB ORDER CONTRACTING AGENCY-WIDE",DSGN,"",4,0,06/17
EP-6,826 254,826,JOC-FMC,"FMC Facilities Improvement Program",CTGY,"",5000,0,06/17
EP-6,826 254,826,JOC-FMC3,"FMC Facilities Improvement Program",CONS,"",2400,0,06/17
EP-6,826 254,826,JOC-FMC3,"FMC Facilities Improvement Program",CONS,"",1400,0,06/19
EP-6,826 254,826,JOC-FMC4,"Job Order Contract 2 - CIitywide",CONS,"",2400,0,06/17
EP-6,826 254,826,JOC-FMC4,"Job Order Contract 2 - CIitywide",CONS,"",1400,0,06/19
EP-6,826 254,826,JOC-FMC5,"Job Order Contract Roofs -Regions 1 and 2 - Citywide",CONS,"",2880,0,06/18
EP-6,826 254,826,JOC-FMC5,"Job Order Contract Roofs -Regions 1 and 2 - Citywide",CONS,"",1440,0,06/20
EP-6,826 254,826,JOC-FMC6,"FMC Facilities Improvement Program",CONS,"",2400,0,06/21
EP-6,826 254,826,JOC-FMC6,"FMC Facilities Improvement Program",CONS,"",1200,0,06/23
EP-6,826 254,826,JOC-FMC7,"Job Order Contract 2 - Citywide",CONS,"",2400,0,06/21
EP-6,826 254,826,JOC-FMC7,"Job Order Contract 2 - Citywide",CONS,"",1200,0,06/23
EP-6,826 254,826,JOC-FMC8,"FMC Facilities Improvement Program",CONS,"",2400,0,06/24
EP-6,826 254,826,JOC-FMC8,"FMC Facilities Improvement Program",CONS,"",1200,0,06/26
EP-6,826 254,826,JOC-FMC9,"Job Order Contract 2 - Citywide",CONS,"",2400,0,06/24
EP-6,826 254,826,JOC-FMC9,"Job Order Contract 2 - Citywide",CONS,"",1200,0,06/24
EP-6,826 254,826,JPSGARA,"NEW GARAGE AT JEROME PS",CTGY,"",2000,0,06/17
EP-6,826 254,826,LFK-RELO,"Lefrak Relocation",CNSP,"",500,0,06/18
EP-6,826 254,826,LFK-RELO,"Lefrak Relocation",CONS,"",5000,0,06/19
EP-6,826 254,826,LFK-RELO,"Lefrak Relocation",CONS,"",5000,0,06/20
EP-6,826 254,826,MASPETH,"RECONSTRUCTION OF BUILDING, MASPETH, QUEENS",DSGN,"",1000,0,06/19
EP-6,826 254,826,SHAFT21,"RECONSTRUCTION OF SHAFT 21, MANHATTAN, Cont., 602",CONS,"GENERAL",300,0,06/17
EP-6,826 254,826,TRN-CMD,"Multipurpose Agency Trng Rm w/ Emerg Command Ctr capability",CONS,"",62,0,06/17
EP-6,826 254,826,TRN-CMD,"Multipurpose Agency Trng Rm w/ Emerg Command Ctr capability",CONS,"",1739,0,06/17
EP-6,826 254,826,TRN-CMD,"Multipurpose Agency Trng Rm w/ Emerg Command Ctr capability",IFDS,"",700,0,06/17
EP-6,826 254,826,TRN-CMD,"Multipurpose Agency Trng Rm w/ Emerg Command Ctr capability",IFSP,"",700,0,06/17
EP-6,826 254,850,EP06-38ST,"East 38th Street Facility Upgrades",CONS,"",449,0,06/17
EP-6,826 254,850,EP06-38ST,"East 38th Street Facility Upgrades",CONS,"",22,0,06/17
EP-6,826 254,850,EP06-38ST,"East 38th Street Facility Upgrades",CONS,"",219,0,06/17
EP-6,826 254,850,EP06-38ST,"East 38th Street Facility Upgrades",DSGN,"",42,0,06/17
EP-6,826 254,850,EP06-38ST,"East 38th Street Facility Upgrades",CONS,"",680,0,06/17
EP-6,826 254,850,EP06-38ST,"East 38th Street Facility Upgrades",CONS,"",5511,0,06/17
EP-6,826 254,850,EP6-KENT2,"356 FLUSING, BUILDING REPAIR/UPGRADE",IFDS,"",40,0,06/17
EP-6,826 254,850,EP6-KENT2,"356 FLUSING, BUILDING REPAIR/UPGRADE",IFSP,"",600,0,06/17
EP-6,826 254,850,EP6-KENT2,"356 FLUSING, BUILDING REPAIR/UPGRADE",DSGN,"",420,0,12/16
EP-6,826 254,850,EP6-KENT2,"356 FLUSING, BUILDING REPAIR/UPGRADE",CONS,"",6886,0,12/16
EP-6,826 254,850,EP6-KENT2,"356 FLUSING, BUILDING REPAIR/UPGRADE",CONS,"",2165,0,06/17
EP-6,826 254,850,EP6-KENT2,"356 FLUSING, BUILDING REPAIR/UPGRADE",SVCS,"",1,0,06/17
EP-6,826 254,856,KENS-LAB,"KENSICO LABORATORY",EQFN,"OFFICE FURNITURE",380,0,01/17
EP-6,826 254,856,KENS-LAB,"KENSICO LABORATORY",EQFN,"COMMUNICATIONS EQUIPMENT",299,0,01/17
EP-7,826 255,801,HWQ662D1,"Springfield Gardens Residential Area, Reconstruction",CONS,"",96,0,06/17
EP-7,826 255,826,HUDSONYDS,"Reconstruction of Water and Sewers @ Hudson Yards",CONS,"",3662,0,06/21
EP-7,826 255,826,SE-EMRNGY,"EMERGENCY CONTRACTS FOR SEWERS, CITYWIDE",CTGY,"",10000,0,06/17
EP-7,826 255,826,SEC20004U,"Citywide emergency sewer reconstruction",CONS,"",500,0,06/18
EP-7,826 255,826,UTIL-GEN,"UTILITY CONTRACTS - GENERAL",CONS,"",10000,0,06/22
EP-7,826 255,826,UTIL-GEN,"UTILITY CONTRACTS - GENERAL",CONS,"",5303,0,06/18
EP-7,826 255,826,UTIL-GEN,"UTILITY CONTRACTS - GENERAL",CONS,"",5000,0,06/19
EP-7,826 255,826,UTIL-GEN,"UTILITY CONTRACTS - GENERAL",CONS,"",6000,0,06/20
EP-7,826 255,826,UTIUTIL,"UTILITY RELOCATION FOR SE AND WM PROJECTS",CONS,"",1131,0,11/16
EP-7,826 255,826,UTIUTIL,"UTILITY RELOCATION FOR SE AND WM PROJECTS",CONS,"",10001,0,06/17
EP-7,826 255,826,UTIUTIL,"UTILITY RELOCATION FOR SE AND WM PROJECTS",CONS,"",10000,0,06/18
EP-7,826 255,826,UTIUTIL,"UTILITY RELOCATION FOR SE AND WM PROJECTS",CONS,"",10000,0,06/19
EP-7,826 255,826,UTIUTIL,"UTILITY RELOCATION FOR SE AND WM PROJECTS",CONS,"",10000,0,06/20
EP-7,826 255,826,UTIUTIL,"UTILITY RELOCATION FOR SE AND WM PROJECTS",CONS,"",10000,0,06/21
EP-7,826 255,826,UTIUTIL,"UTILITY RELOCATION FOR SE AND WM PROJECTS",CONS,"",10000,0,06/22
EP-7,826 255,826,UTIUTIL,"UTILITY RELOCATION FOR SE AND WM PROJECTS",CONS,"",10000,0,06/23
EP-7,826 255,826,UTIUTIL,"UTILITY RELOCATION FOR SE AND WM PROJECTS",CONS,"",10000,0,06/24
EP-7,826 255,826,UTIUTIL,"UTILITY RELOCATION FOR SE AND WM PROJECTS",CONS,"",10000,0,06/25
EP-7,826 255,826,UTIUTIL,"UTILITY RELOCATION FOR SE AND WM PROJECTS",CONS,"",10000,0,06/26
EP-7,826 255,826,UTIUTIL,"UTILITY RELOCATION FOR SE AND WM PROJECTS",CONS,"",10000,0,06/27
EP-7,826 255,826,UTIUTIL,"UTILITY RELOCATION FOR SE AND WM PROJECTS",CTGY,"",5000,0,06/17
EP-7,826 255,826,WM-EMRNGY,"EMERGENCY CONTRACTS FOR WATER MAINS, CITYWIDE",CTGY,"",10000,0,06/17
EP-7,826 255,850,BED-768A,"WATER MAIN CONNECTIONS TO SHAFT 23B - PHASE I",CONS,"",20,0,12/16
EP-7,826 255,850,BEDA-003,"Accelerated Distribution WM replcmnt & sewer rehab- BKLYN",CONS,"",500,0,06/17
EP-7,826 255,850,CONISPH2B,"SAN & STRM SWR, WM1, WM6 IN CONEY ISL AREA, PH 2B",CONS,"",602,0,08/16
EP-7,826 255,850,CS-ER-WCP,"PARALLEL SEWER-REDUCE CSO DISCHARGE FROM PUGSLEY CREEK",CONS,"",983,0,01/17
EP-7,826 255,850,GE-355,"Emergency Reconstruction of Water Mains",CONS,"",500,0,06/17
EP-7,826 255,850,GE-358,"Area-wide Contract for Water Mains",CONS,"",1095,0,04/17
EP-7,826 255,850,GNCB14-1A,"GI-CONSTRUCTION OF GI NIN NCB-014, PHASE 1",CONS,"",350,0,06/18
EP-7,826 255,850,GNCB14-2A,"GI-CONSTRUCTION OF GI NIN NCB-014, PHASE II",CONS,"",350,0,06/18
EP-7,826 255,850,GNCB14-3A,"GI-CONSTRUCTION OF GI NIN NCB-014, PHASE III",CONS,"",350,0,06/18
EP-7,826 255,850,HEDA-002,"Accelerated Distribution WM replcmnt & sewer rehab: BX",CONS,"",745,0,01/17
EP-7,826 255,850,HEDA-003,"Accelerated Distribution WM replcmnt & sewer rehab: BX",CONS,"",745,0,06/17
EP-7,826 255,850,HWCSCH4C2,"Safe Routes to Schools - Phase 4C2",CONS,"",72,0,06/17
EP-7,826 255,850,HWD10105,"Ped Safety Upgrades on Atlantic Ave",CONS,"",495,0,06/17
EP-7,826 255,850,HWK100BUS,"Utica Ave Bus Priority",CONS,"",196,0,06/17
EP-7,826 255,850,HWPLZ014Q,"37TH RD PLAZA, PLANYC",CONS,"",68,0,06/17
EP-7,826 255,850,HWPLZ016K,"Broadway Bedford Plaza",CONS,"",61,0,06/17
EP-7,826 255,850,HWPS199,"Reconstruction of PS199",CONS,"",65,0,06/17
EP-7,826 255,850,HWQ787B3,"SUTTER AVE, ETC - PHASE V (B3)",CONS,"",7,0,06/17
EP-7,826 255,850,HWXP136B,"Grand Concourse Phase 3",CONS,"",32,0,06/17
EP-7,826 255,850,HWX710A,"PELHAM PKWY-WEST & EAST AND NORTH & SOUTH BOUNDS (PHASE",CONS,"",6590,0,06/17
EP-7,826 255,850,MED-594,"WM RPLMT IN E 46 ST & E 47 ST B/T MADISON AV & LEXINGTON AV",CONS,"",95,0,12/18
EP-7,826 255,850,MED-607,"TRUNK MAIN CONN TO SHAFT 32B IN 2ND AVE. INTER. OF E. 35ST.",CONS,"",2355,0,06/17
EP-7,826 255,850,MED-625,"WEST 14TH STREET",CONS,"",431,0,01/17
EP-7,826 255,850,MED-630,"WM replacement at 170 st, amsterdam ave & b'way, MANHATTAN",CONS,"",667,0,06/17
EP-7,826 255,850,MED-634,"WATER MAIN REPLACEMENT IN E 25TH STREET,MN",CONS,"",32,0,06/17
EP-7,826 255,850,MED-642,"Distribution water main extensions/replacements",CONS,"",309,0,06/17
EP-7,826 255,850,MEDA-002,"Accelerated Distribution WM replcmnt & sewer rebhab - MAN",CONS,"",956,0,06/17
EP-7,826 255,850,MEDA-003,"Accelerated Distribution WM replcmnt & sewer rebhab - MAN",CONS,"",500,0,06/17
EP-7,826 255,850,QED-1001,"WATERMAIN WORK IN VARIOUS LOCATIONS PROJECT Q2007-02",CONS,"",377,0,12/16
EP-7,826 255,850,QED-1007,"New Trunk Water Main in Rockaway Beach Blvd.",CONS,"",297,0,08/18
EP-7,826 255,850,QED-1021,"Water Main replacement in Farmers Blvd.",CONS,"",268,0,06/17
EP-7,826 255,850,QED-1023A,"Distribution WM replacement, Onderdonk Ave, Qns",CONS,"",503,0,06/17
EP-7,826 255,850,QED-1025,"Replacement of Water Mains in Arcade Avenue",CONS,"",737,0,06/17
EP-7,826 255,850,QED-1035,"WM replacement 135st b/t liberty ave & rockaway blvd, qns",CONS,"",1175,0,06/17
EP-7,826 255,850,QED-976,"TRUNK MAIN IN FRANCIS LEWIS BLVD - 90 AV TO 99 AV",CONS,"",600,0,01/17
EP-7,826 255,850,QED-982,"NEW TRUNK W/M IN ROCKAWAY BEACH BLVD B/T B 88 ST & B 73 ST",CONS,"",347,0,06/17
EP-7,826 255,850,QED-991,"New WM, trunk main ext, 33 ave & Francis lewis Blvd, Qns",CONS,"",1373,0,06/17
EP-7,826 255,850,QEDA-002,"Accelerated Distribution WM replcmnt & sewer rebhab - QNS",CONS,"",817,0,01/17
EP-7,826 255,850,QEDA-003,"Accelerated Distribution WM replcmnt & sewer rebhab - QNS",CONS,"",500,0,06/17
EP-7,826 255,850,QED1002,"WATER MAIN WORK IN VARIOUS LOCATIONS PROJ Q2007-05",CONS,"",66,0,10/16
EP-7,826 255,850,QED1014,"Rehabilitation of Astoria water trunk main by lining",CONS,"",94,0,12/16
EP-7,826 255,850,RED-376,"Water main replcmnt and/or lining in Clove Rd",CONS,"",213,0,06/17
EP-7,826 255,850,REDA-002,"Accelerated Distribution WM replcmnt & sewer rehab: S.I.",CONS,"",807,0,01/17
EP-7,826 255,850,REDA-003,"Accelerated Distribution WM replcmnt & sewer rehab: S.I.",CONS,"",500,0,06/17
EP-7,826 255,850,SE-803,"SAN & STRM SEWER IN RAMBLE ROAD B/T ADRIENNE PL & DENT ROAD",CONS,"",614,0,06/17
EP-7,826 255,850,SE-807,"STORM & SAN SEWERS IN 20TH AVE B/T126 ST & US BULKHEAD LINE",CONS,"",1964,0,07/16
EP-7,826 255,850,SE-812,"Sanitary & Storm swr in Page Av b/t Amboy Rd & Estella Pl",CONS,"",927,0,06/18
EP-7,826 255,850,SE-818,"SAN & STORM SEWER IN SHELDON AVE BET ELLSWORTH & DELMAR AVE",CONS,"",1,0,07/16
EP-7,826 255,850,SE-853,"HLSS, Strm, San & Comb Swrs, & WM Fresh Creek Basin ,Ph 2A",CONS,"",810,0,06/17
EP-7,826 255,850,SE-854,"STRM, SAN SWERS & WM IN119 ave, qns",CONS,"",568,0,01/17
EP-7,826 255,850,SECBRPQ10,"Installation of New Catch Basins and Reconstruction",CONS,"",394,0,02/17
EP-7,826 255,850,SEC20004P,"CITYWIDE EMERGENCY SEWER RECONSTRUCTION",CONS,"",265,0,08/16
EP-7,826 255,850,SEC20004R,"Citywide emergency sewer reconstruction",CONS,"",147,0,08/16
EP-7,826 255,850,SEC20004R,"Citywide emergency sewer reconstruction",CONS,"",59,0,06/17
EP-7,826 255,850,SEC20004R,"Citywide emergency sewer reconstruction",CONS,"",295,0,06/17
EP-7,826 255,850,SEC20004R,"Citywide emergency sewer reconstruction",CONS,"",147,0,06/17
EP-7,826 255,850,SEC20004T,"Citywide emergency sewer reconstruction",CONS,"",705,0,06/18
EP-7,826 255,850,SEK201BN6,"Reconstruction of existing sewers, Brooklyn NORTH",CONS,"",554,0,08/16
EP-7,826 255,850,SEK201BS6,"Reconstruction of Existing Sewers, Brooklyn SOUTH",CONS,"",629,0,01/17
EP-7,826 255,850,SEN002157,"REPLMT OF COMB SEWER IN E. 26 ST B/T 1ST AV & FDR",CONS,"",139,0,01/17
EP-7,826 255,850,SEQNS001,"Sewer When & Where contract in SE Queens",CONS,"",1061,0,01/17
EP-7,826 255,850,SEQ002568,"COMBINED SEWER IN ALBERT RD - CENTERVILLE ST & N. CONDUIT A",CONS,"",4,0,10/16
EP-7,826 255,850,SEQ200446,"STORM SEWERS IN HOOK CREEK BLVD - 253 ST AND 149 RD",CONS,"",600,0,06/18
EP-7,826 255,850,SEQ200492,"Storm sewer extension and san. replacement @ 41st avenue,",CONS,"",76,0,06/18
EP-7,826 255,850,SEQ200550,"Storm & Sanit. Swr ext. 99st & Rockawy Bch blvd & dead end",CONS,"",85,0,06/17
EP-7,826 255,850,SEQ200569,"Construction of Storm Sewers in 204th Street, Queens.",CONS,"",84,0,06/17
EP-7,826 255,850,SEQ201BN7,"Reconstruction of existing sewers, Queens",CONS,"",312,0,06/17
EP-7,826 255,850,SEQ201BN8,"Reconstruction of existing sewers, Queens",CONS,"",663,0,06/17
EP-7,826 255,850,SEQ201BS5,"Reconstruction of existing sewers",CONS,"",35,0,08/16
EP-7,826 255,850,SEQ201BS8,"Reconstructiion of existing sewers, Queens SOUTH",CONS,"",795,0,01/17
EP-7,826 255,850,SER00201X,"Reconstruction of existing sewers",CONS,"",151,0,06/17
EP-7,826 255,850,SER00201Z,"Reconstruction of existing sewers, Staten Island.",CONS,"",454,0,01/17
EP-7,826 255,850,SER002326,"Storm and Sanitary Sewers in Wardwell Ave. S.I.",CONS,"",444,0,12/16
EP-7,826 255,850,SER200249,"NEW STRM SWR & REPLACE WM IN MASON ST",CONS,"",221,0,01/17
EP-7,826 255,850,SE848,"Storm Extensions, Catch Basins, Sanitary Replacements an",CONS,"",680,0,01/17
EP-9,826 256,057,F204RIWTR,"RANDALL'S ISLAND WATER RECOVERY SYSTEM",CONS,"MASONRY",543,0,06/17
EP-10,826 257,826,BCS-AMR,"Automatic Meter Readers",EQFN,"",518,0,06/17
EP-10,826 257,826,CRO-304,"AUTOMATIC METER READING DEVICES",EQFN,"",2721,0,06/18
EP-10,826 257,826,CRO-304,"AUTOMATIC METER READING DEVICES",IFSP,"",50,0,06/17
EP-10,826 257,826,DEPMETERS,"WATER METER REPLACEMENTS",EQFN,"",5000,0,06/19
EP-10,826 257,826,JFK-12,"WATER METER INSTALLATION AT JFK AIRPORT",IFDS,"",500,0,06/17
EP-10,826 257,826,JFK-12,"WATER METER INSTALLATION AT JFK AIRPORT",IFSP,"",500,0,06/17
EP-10,826 257,826,JFK-12,"WATER METER INSTALLATION AT JFK AIRPORT",IFSP,"",500,0,06/18
EP-10,826 257,826,SANDMTR,"Water MTR purchases, replacements due to Hurricane Sandy",EQFN,"",50,450,06/17
EP-10,826 257,826,WEC-CITY,"WATER METER INSTALLATIONS IN CITY OWNED BLDGS",EQFN,"",3847,0,06/18
EP-10,826 257,826,WEC-CITY,"WATER METER INSTALLATIONS IN CITY OWNED BLDGS",EQFN,"",196,0,06/18
EP-10,826 257,826,WEC-CITY,"WATER METER INSTALLATIONS IN CITY OWNED BLDGS",IFSP,"",500,0,06/18
EP-10,826 257,826,WEC-CITY,"WATER METER INSTALLATIONS IN CITY OWNED BLDGS",IFSP,"",500,0,06/19
EP-10,826 257,826,WEC-CITY,"WATER METER INSTALLATIONS IN CITY OWNED BLDGS",IFSP,"",500,0,06/20
EP-10,826 257,826,WEC-CITY,"WATER METER INSTALLATIONS IN CITY OWNED BLDGS",IFSP,"",500,0,06/21
EP-10,826 257,826,WEC-CITY,"WATER METER INSTALLATIONS IN CITY OWNED BLDGS",IFSP,"",500,0,06/22
EP-10,826 257,826,WEC-CITY,"WATER METER INSTALLATIONS IN CITY OWNED BLDGS",IFSP,"",500,0,06/23
EP-10,826 257,826,WEC-CITY,"WATER METER INSTALLATIONS IN CITY OWNED BLDGS",IFSP,"",500,0,06/24
EP-10,826 257,826,WEC-CITY,"WATER METER INSTALLATIONS IN CITY OWNED BLDGS",IFSP,"",500,0,06/25
EP-10,826 257,826,WEC-LARGE,"LARGE WATER METER PURCHASES, REPLACEMENTS AND I",EQFN,"",34,0,08/16
EP-10,826 257,826,WEC-LARGE,"LARGE WATER METER PURCHASES, REPLACEMENTS AND I",EQFN,"",134,0,08/16
EP-10,826 257,826,WEC-LARGE,"LARGE WATER METER PURCHASES, REPLACEMENTS AND I",EQFN,"",618,0,06/17
EP-10,826 257,826,WEC-LGE16,"LARGE WATER METER PURCHASES, REPLACEMENTS AND INSTALLATIO",CONS,"",2799,0,06/18
EP-10,826 257,826,WEC-LGE16,"LARGE WATER METER PURCHASES, REPLACEMENTS AND INSTALLATIO",CONS,"",1069,0,06/18
EP-10,826 257,826,WEC-LGE16,"LARGE WATER METER PURCHASES, REPLACEMENTS AND INSTALLATIO",CONS,"",1364,0,06/18
