budgetline,fmsnumber,managingagency,projectid,description,commitmentcode,commitmentdescription,citycost,noncitycost,plancommdate
P-M245,846 M45,846,P-301EPPK,"EDGAR PLAZA PARK - COMMUNITY PARK",CONS,"GENERAL",300000,0,06/18
P-M245,846 M45,846,P-302DPCA,"DESALVIO PLGD RECON - ADULT USE & KID PLAY AREAS M218",CONS,"",878000,0,06/17
P-M245,846 M45,846,P-303ASRC,"Al Smith Rec Cntr-replace a/c & new windows",CONS,"",200000,0,06/18
P-M245,846 M45,846,P-303ERFB,"EAST RIVER PK - FIRE BOATHOUSE RENOVATION M144",CONS,"GENERAL",550000,0,06/17
P-M245,846 M45,846,P-303ERSF,"ERP - E 6TH ST SOCCER FLD NEW TURF M144-214m",DSGN,"COMPLETE DESIGN",26000,0,08/16
P-M245,846 M45,846,P-303ERSF,"ERP - E 6TH ST SOCCER FLD NEW TURF M144-214m",CONS,"",780000,0,06/17
P-M245,846 M45,846,P-303ERSF,"ERP - E 6TH ST SOCCER FLD NEW TURF M144-214m",CONS,"",10000,0,09/16
P-M245,846 M45,846,P-303ERSF,"ERP - E 6TH ST SOCCER FLD NEW TURF M144-214m",CONS,"GENERAL",500000,0,06/17
P-M245,846 M45,846,P-303ERSF,"ERP - E 6TH ST SOCCER FLD NEW TURF M144-214m",CONS,"GENERAL",100000,0,06/17
P-M245,846 M45,846,P-303LGPK,"CPI PH1 - LUTHER GULICK PARK - RECON WEST PORTION",CONS,"GENERAL",443000,0,06/17
P-M245,846 M45,846,P-303SDRB,"Sara D. Roosevelt PK Store room convert to bathroom M105",CONS,"",250000,0,06/18
P-M245,846 M45,846,P-303SDRP,"Sara D. Roosevelt Park - Pathways, sidewalks, exterior wall",CONS,"",200000,0,06/18
P-M245,846 M45,846,P-303SDRP,"Sara D. Roosevelt Park - Pathways, sidewalks, exterior wall",CONS,"",300000,0,06/18
P-M245,846 M45,846,P-303SDRP,"Sara D. Roosevelt Park - Pathways, sidewalks, exterior wall",CONS,"",1100000,0,06/18
P-M245,846 M45,846,P-303TSDR,"Tompkins Sq. Dog Run - Anaerobic Dog Waste Digester",CONS,"GENERAL",41000,0,06/18
P-M245,846 M45,846,P-303TSDR,"Tompkins Sq. Dog Run - Anaerobic Dog Waste Digester",CONS,"GENERAL",4000,0,06/18
P-M245,846 M45,846,P-303TSPL,"Tompkins Square Plgr-R/c at Ave B/E7",CONS,"",57000,0,06/18
P-M245,846 M45,846,P-304DWCL,"DE WITT CLINTON PARK: STAIRCASE RENOVATION",CONS,"",500000,0,06/18
P-M245,846 M45,846,P-304HRCG,"HUDSON RIVER PARK: CHELSEA WATERSIDE PARK GATES AT PIER 4",CONS,"",119000,0,06/17
P-M245,846 M45,846,P-304HRCW,"Hudson River Park -Chelsea Waterside Pk Basketball Court",CONS,"",50000,0,06/18
P-M245,846 M45,846,P-304HR40,"Hudson River Park - Pier 40 tennis courts",CONS,"GENERAL",90000,0,06/18
P-M245,846 M45,846,P-304HR46,"Hudson River Park- Pier 46 athletic field",CONS,"GENERAL",60000,0,06/18
P-M245,846 M45,846,P-305USTU,"Union Square Triangle Upgrade",CONS,"GENERAL",126000,0,06/18
P-M245,846 M45,846,P-305USTU,"Union Square Triangle Upgrade",CONS,"GENERAL",14000,0,06/18
P-M245,846 M45,846,P-306ALRR,"Asser Levy Rec Ctr-new ramp",CONS,"",200000,0,06/18
P-M245,846 M45,846,P-307BENN,"Bennerson Playground Renovation (M184-114M)",CONS,"",325000,0,06/17
P-M245,846 M45,846,P-307BLOO,"CPI PH2 - Bloomingdale Plgr",CONS,"",80000,0,06/17
P-M245,846 M45,846,P-307BLOO,"CPI PH2 - Bloomingdale Plgr",CONS,"",150000,0,06/18
P-M245,846 M45,846,P-307BMAP,"BROADWAY MALLS - RECON & UPGRADE BROADWAY MALLS",CONS,"",175000,0,06/17
P-M245,846 M45,846,P-307BMDR,"Bull Moose Dog Run Anaerobic Dog Waste Digester",CONS,"GENERAL",41000,0,06/18
P-M245,846 M45,846,P-307BMDR,"Bull Moose Dog Run Anaerobic Dog Waste Digester",CONS,"GENERAL",4000,0,06/18
P-M245,846 M45,846,P-307CPTU,"CENTRAL PARK EAST - TECHNOLOGY UPGRADE",EQFN,"",35000,0,06/18
P-M245,846 M45,846,P-307RPBB,"Riverside Park: RC of 102nd StrBasketball Courts & Steps",CONS,"",250000,0,06/18
P-M245,846 M45,846,P-307RPBB,"Riverside Park: RC of 102nd StrBasketball Courts & Steps",CONS,"",1000000,0,06/18
P-M245,846 M45,846,P-307R102,"RVSD PK - 102ND ST FIELD HOUSE M071",CONS,"GENERAL",160000,0,06/17
P-M245,846 M45,846,P-307TUNN,"LINCOLN CTR N. & S. TUNNEL UPGRADES-SUBWAY ENTRANCE M232",CONS,"GENERAL",18000,0,06/18
P-M245,846 M45,846,P-307TUNN,"LINCOLN CTR N. & S. TUNNEL UPGRADES-SUBWAY ENTRANCE M232",CONS,"GENERAL",18000,0,06/18
P-M245,846 M45,846,P-307TUNN,"LINCOLN CTR N. & S. TUNNEL UPGRADES-SUBWAY ENTRANCE M232",CONS,"GENERAL",17000,0,06/18
P-M245,846 M45,846,P-307WSCG,"WEST SIDE COMMUNITY GARDEN",CONS,"GENERAL",7000,0,06/17
P-M245,846 M45,846,P-307WSCG,"WEST SIDE COMMUNITY GARDEN",CONS,"GENERAL",7000,0,06/17
P-M245,846 M45,846,P-307WSCG,"WEST SIDE COMMUNITY GARDEN",CONS,"GENERAL",23000,0,06/17
P-M245,846 M45,846,P-307WSCG,"WEST SIDE COMMUNITY GARDEN",CONS,"GENERAL",6000,0,06/17
P-M245,846 M45,846,P-308CSPG,"Carl Schurz Playground Reconstruction",CONS,"GENERAL",300000,0,06/18
P-M245,846 M45,846,P-308MHM3,"MERCHANT HOUSE MUSEUM- SLATE ROOF AND FIRE ESCAPE RENOVATI",CONS,"",250000,0,06/17
P-M245,846 M45,846,P-309MPMP,"Morningside Park: Renovation of Middle Playground",CONS,"",300000,0,06/17
P-M245,846 M45,846,P-309MPMP,"Morningside Park: Renovation of Middle Playground",CONS,"",1150000,0,06/18
P-M245,846 M45,846,P-309MSPK,"Morningside Park",CONS,"",400000,0,06/18
P-M245,846 M45,846,P-309RBUS,"RVSD DR -TIEMANN PL TO 97TH ST",CONS,"GENERAL",54000,0,06/18
P-M245,846 M45,846,P-309SKRP,"Sakura Park - Reconstruction of the Staircase",CONS,"",375000,0,06/17
P-M245,846 M45,846,P-310FJTC,"FRED JOHNSON TENNIS COURTS RENOVATION M159-111M",CONS,"GENERAL",78000,0,06/17
P-M245,846 M45,846,P-310HCOM,"HANSBOROUGH REC CTR COMPUTER PURCHASE M131",CONS,"GENERAL",45000,0,06/18
P-M245,846 M45,846,P-310JRGY,"Jackie Robinson Rec Ctr-replace gym floor",CONS,"",150000,0,06/18
P-M245,846 M45,846,P-3107STP,"107TH Street Pier Renovation M108-216M",CONS,"",245000,0,06/18
P-M245,846 M45,846,P-3107STP,"107TH Street Pier Renovation M108-216M",DSGN,"",5000,0,06/17
P-M245,846 M45,846,P-311MGFI,"MARCUS GARVEY PK FIRE WATCHTOWER RESTORATION M058-115M",CONS,"GENERAL",200000,0,06/17
P-M245,846 M45,846,P-311PRPL,"Poor Richard's Playground Renovations",CONS,"",315000,0,06/18
P-M245,846 M45,846,P-311PRPL,"Poor Richard's Playground Renovations",CONS,"",35000,0,06/17
P-M245,846 M45,846,P-312DFAR,"DYCKMAN FARMHOUSE : ADA RAMP AND BATHROOM RENOVATION",CONS,"",375000,0,06/18
P-M245,846 M45,846,P-312DMAR,"DYCKMAN MARINA ECO DOCK RC M028",CONS,"GENERAL",315000,0,06/18
P-M245,846 M45,846,P-312DMAR,"DYCKMAN MARINA ECO DOCK RC M028",CONS,"",35000,0,06/18
P-M245,846 M45,846,P-312FTSR,"FT TRYON PARK STAIRCASE M029-111M",CONS,"GENERAL",536000,0,06/17
P-M245,846 M45,846,P-312FTSR,"FT TRYON PARK STAIRCASE M029-111M",CONS,"",99000,0,06/17
P-M245,846 M45,846,P-312FTSR,"FT TRYON PARK STAIRCASE M029-111M",CONS,"GENERAL",558000,0,06/17
P-M245,846 M45,846,P-312FTSR,"FT TRYON PARK STAIRCASE M029-111M",CONS,"GENERAL",157000,0,06/17
P-M245,846 M45,846,P-312HBBS,"HIGHBRIDGE PARK BRUSH STAIR RECON M037-109M",CONS,"",1000,0,06/18
P-M245,846 M45,846,P-312JJPG,"Jacob Javits Plgr-renovation",CONS,"",100000,0,06/18
P-M245,846 M45,846,P-312JJPG,"Jacob Javits Plgr-renovation",CONS,"",250000,0,06/18
P-M245,846 M45,846,P-312JJPG,"Jacob Javits Plgr-renovation",CONS,"",250000,0,06/18
P-M245,846 M45,846,P-312MJME,"Morris Jumel Mansion - exterior renovation M073-108M",CONS,"",128000,0,06/18
P-M245,846 M45,846,P-6BLDG9B,"FY10 Building Requirements (CNYG-309M)",CONS,"GENERAL",30000,0,06/17
P-M822,846 M22,846,P-3PLG14C,"R/C OF Playgrounds multisites FY14 Manhattan (MG-314MA)",CONS,"",44000,0,06/17
P-M890,846 M90,846,P-3BDREQ2,"REQUIREMENTS - MANHATTAN MG-901M",CONS,"GENERAL",250000,0,06/18
P-QN534,846 A08,846,P-3FDRFFP,"FDR Four Freedoms Park Lighting Project",CONS,"",300000,0,06/18
P-Q001,846 Q01,846,P-400PAV3,"FMCP - NYS Pavilion Upgrades",CONS,"",2500000,0,06/18
P-Q001,846 Q01,846,P-415PAVI,"FMCP - NYS PAVILION RC Q099-116M",DSGN,"DESIGN DURING CONSTRUCTIO",251000,0,06/17
P-Q001,846 Q01,846,P-415PAVI,"FMCP - NYS PAVILION RC Q099-116M",CONS,"GENERAL",1091000,0,06/18
P-Q001,846 Q01,846,P-415PAVI,"FMCP - NYS PAVILION RC Q099-116M",CONS,"GENERAL",1658000,0,06/18
P-Q002,846 Q02,846,P-411APE2,"ALLEY POND ENVIRONMENTAL CENTER & CONS. OF ANNEX Q001-11",CONS,"GENERAL",2828000,0,06/18
P-Q003,846 Q03,846,P-4BC94ST,"Beach 94th Street Performance Space Upgrades Q163-116M",DSGN,"",7000,0,06/17
P-Q003,846 Q03,846,P-4BC94ST,"Beach 94th Street Performance Space Upgrades Q163-116M",CONS,"",84000,0,06/17
P-Q003,846 Q03,846,P-4BWALK1,"FY12 Queens Boardwalks (FEMA Funded) Q162-212M",CONS,"",1000,0,06/18
P-Q003,846 Q03,846,P-413COV2,"Sunset Cove Park Oyster Garden and Boardwalk Construction",CONS,"GENERAL",909000,0,06/18
P-Q003,846 Q03,846,P-6CBPOOL,"ELEC. SYS. VAR. POOLS BKLYN, QNS, S.I. CNYG-1200M",CONS,"GENERAL",2000,0,06/17
P-Q004,846 Q04,846,P-4TRE17B,"FY17 Street Tree Queens 12,13,14 QG-",CONS,"",300000,0,06/17
P-Q010,846 Q10,850,P-413QCF1,"QUEENS CTY FARM MUSEUM PHASE 2 FARMLAND RESTORATION",CONS,"GENERAL",375000,0,06/18
P-Q126,846 Q26,846,P-407FGP2,"FRANK GOLDEN PK -SHANNON GAELS",CONS,"GENERAL",500000,0,06/18
P-Q126,846 Q26,846,P-407FGP2,"FRANK GOLDEN PK -SHANNON GAELS",CONS,"GENERAL",250000,0,06/18
P-Q126,846 Q26,846,P-407FGP2,"FRANK GOLDEN PK -SHANNON GAELS",CONS,"GENERAL",790000,0,06/18
P-Q126,846 Q26,846,P-407FGP2,"FRANK GOLDEN PK -SHANNON GAELS",CONS,"GENERAL",500000,0,06/18
P-Q126,846 Q26,846,P-407FGP2,"FRANK GOLDEN PK -SHANNON GAELS",CONS,"GENERAL",300000,0,06/18
P-Q245,846 Q45,801,ECODOCKHC,"ECO-DOCK AT HALLETS COVE",CONS,"",3000000,0,06/18
P-Q245,846 Q45,846,P-4BIGBSH,"Big Bush Park Playground R/C Q205A-115M",CONS,"GENERAL",1000000,0,06/17
P-Q245,846 Q45,846,P-4BRNKHF,"Brinkerhoff Cemetery Acquisition",CONS,"",150000,0,06/17
P-Q245,846 Q45,846,P-4BWALK1,"FY12 Queens Boardwalks (FEMA Funded) Q162-212M",CONS,"",1158000,0,06/18
P-Q245,846 Q45,846,P-4BWIDEK,"QUEENS - COUNCIL & BP MULTI SITE (QG-1011M)",CONS,"",204000,0,06/18
P-Q245,846 Q45,846,P-4BWIDEM,"QUEENS - COUNCIL & BP MULTI SITE QG-1216M",CONS,"GENERAL",1250000,0,06/18
P-Q245,846 Q45,846,P-4BWIDEM,"QUEENS - COUNCIL & BP MULTI SITE QG-1216M",CONS,"",125000,0,06/18
P-Q245,846 Q45,846,P-4BWIDEN,"QUEENS - COUNCIL & BP MULTI SITE QG-1316M",CONS,"GENERAL",273000,0,06/18
P-Q245,846 Q45,846,P-4BWIDEN,"QUEENS - COUNCIL & BP MULTI SITE QG-1316M",CONS,"",27000,0,06/18
P-Q245,846 Q45,846,P-4BWIDEO,"QUEENS - COUNCIL & BP MULTI SITE",CONS,"GENERAL",1932000,0,06/18
P-Q245,846 Q45,846,P-4BWIDEO,"QUEENS - COUNCIL & BP MULTI SITE",CONS,"GENERAL",225000,0,06/17
P-Q245,846 Q45,846,P-4BWIDEO,"QUEENS - COUNCIL & BP MULTI SITE",CONS,"",193000,0,06/18
P-Q245,846 Q45,846,P-4CARSON,"Kissena Pk Corridor - Silent Spring Playground",CONS,"GENERAL",245000,0,06/17
P-Q245,846 Q45,846,P-4CARSON,"Kissena Pk Corridor - Silent Spring Playground",CONS,"",455000,0,06/17
P-Q245,846 Q45,846,P-4CARSON,"Kissena Pk Corridor - Silent Spring Playground",CONS,"",1000000,0,06/17
P-Q245,846 Q45,846,P-4CPIAST,"CPI PH1- Astoria Heights Playground R/C Q014-115M",CONS,"GENERAL",1000000,0,09/16
P-Q245,846 Q45,846,P-4CUNPLG,"Cunningham Park Lower Playground Renovation",CONS,"",1200000,0,06/18
P-Q245,846 Q45,846,P-4FMMAUR,"FMCP Mauro Playground Upgrades",CONS,"",1500000,0,06/19
P-Q245,846 Q45,846,P-4FMMAUR,"FMCP Mauro Playground Upgrades",CONS,"",2000000,0,06/18
P-Q245,846 Q45,846,P-4FMMAUR,"FMCP Mauro Playground Upgrades",CONS,"",1500000,0,06/18
P-Q245,846 Q45,846,P-4HCOVPG,"Hallets Cove Playground",CONS,"",1000000,0,06/19
P-Q245,846 Q45,846,P-4IDLETB,"IDLEWILD PARK CONSTRUCTION OF NATURE TRAIL AND BOARDWALK",CONS,"",1000000,0,06/18
P-Q245,846 Q45,846,P-4LATRUF,"RUFUS KING MANOR & LEWIS H LATIMER HOUSE ROOFS QG-411M",CONS,"",125000,0,06/17
P-Q245,846 Q45,846,P-4LATRUF,"RUFUS KING MANOR & LEWIS H LATIMER HOUSE ROOFS QG-411M",CONS,"",633000,0,06/17
P-Q245,846 Q45,846,P-4PLG12B,"FY12 Reconstruction of plgr Queens QG-212M",CONS,"",181000,0,06/17
P-Q245,846 Q45,846,P-4PLG13G,"FY13 Queens Plgrd Multisite QG-913M",CONS,"",72000,0,06/18
P-Q245,846 Q45,846,P-4PLG13H,"FY13 Queens Plgrd Multisite QG-514MA",CONS,"",25000,0,06/17
P-Q245,846 Q45,846,P-4PLG13L,"College Point Pk/Plaut Triangle RC QG-1813M",CONS,"",54000,0,06/17
P-Q245,846 Q45,846,P-4PLG15C,"FY15 Queens Plgrd Multisite QG-815M",DSGN,"",17000,0,06/17
P-Q245,846 Q45,846,P-4PLG15C,"FY15 Queens Plgrd Multisite QG-815M",CONS,"",1625000,0,06/17
P-Q245,846 Q45,846,P-4PLG15C,"FY15 Queens Plgrd Multisite QG-815M",CONS,"",162000,0,06/17
P-Q245,846 Q45,846,P-4QMULTI,"QUEENS MULTISITE QG-406M - CONSULTANT DESIGN",CONS,"",2000,0,06/18
P-Q245,846 Q45,846,P-4QWCABR,"Queens Wildlife Center Marsh Bridge Repair",CONS,"",80000,0,06/17
P-Q245,846 Q45,846,P-4QWCAMS,"Queens Wildlife Center Aviary Mesh Replacement",CONS,"",400000,0,06/20
P-Q245,846 Q45,846,P-4RAINE2,"Rainey Park",CONS,"",800000,0,06/18
P-Q245,846 Q45,846,P-4RDGEWD,"Rosemary's Plgd R/C",CONS,"",750000,0,06/18
P-Q245,846 Q45,846,P-4RDGEWD,"Rosemary's Plgd R/C",CONS,"",1950000,0,06/18
P-Q245,846 Q45,846,P-4SNDPIP,"Sandpiper Plgd RC (Q163-215M)",DSGN,"DESIGN SUPERVISION",1000,0,06/17
P-Q245,846 Q45,846,P-4SNDPIP,"Sandpiper Plgd RC (Q163-215M)",DSGN,"DESIGN SUPERVISION",3000,0,06/17
P-Q245,846 Q45,846,P-4SNDPIP,"Sandpiper Plgd RC (Q163-215M)",CONS,"GENERAL",270000,0,06/17
P-Q245,846 Q45,846,P-4SNDPIP,"Sandpiper Plgd RC (Q163-215M)",CONS,"GENERAL",600000,0,06/17
P-Q245,846 Q45,846,P-4SNDPIP,"Sandpiper Plgd RC (Q163-215M)",CONS,"",800000,0,06/17
P-Q245,846 Q45,846,P-4VANDOH,"VON DOHLEN PK C/S & PLAYGROUND Q105-108MA",CONS,"",1000,0,06/18
P-Q245,846 Q45,846,P-4VIETNA,"VIETNAM VETERAN MEMORIAL - ELMHURST PARK",CONS,"GENERAL",150000,0,06/17
P-Q245,846 Q45,846,P-4VIETNA,"VIETNAM VETERAN MEMORIAL - ELMHURST PARK",CONS,"GENERAL",1350000,0,06/18
P-Q245,846 Q45,846,P-400ZOO8,"Queens Zoo - Education Classroom initiative",DSGN,"COMPLETE DESIGN",41000,0,06/17
P-Q245,846 Q45,846,P-400ZOO8,"Queens Zoo - Education Classroom initiative",DSGN,"COMPLETE DESIGN",61000,0,06/17
P-Q245,846 Q45,846,P-400ZO16,"QUEENS WILDLIFE CTR - OWL EXHIBIT",CONS,"GENERAL",50000,0,06/17
P-Q245,846 Q45,846,P-401APER,"Astoria Park - erosion control Q004-116M",CONS,"GENERAL",682000,0,06/18
P-Q245,846 Q45,846,P-401APER,"Astoria Park - erosion control Q004-116M",CONS,"",68000,0,06/18
P-Q245,846 Q45,846,P-401CBDS,"Charybdis PG Spray Shower R/C",CONS,"GENERAL",4000000,0,06/18
P-Q245,846 Q45,846,P-401JOEM,"Joe Michael's Mile Path and Lighting Q135-214M",CONS,"GENERAL",1379000,0,06/17
P-Q245,846 Q45,846,P-401JOEM,"Joe Michael's Mile Path and Lighting Q135-214M",CONS,"",138000,0,06/17
P-Q245,846 Q45,846,P-401RAV2,"Ravenswood Playground R/C",CONS,"GENERAL",510000,0,06/18
P-Q245,846 Q45,846,P-401RAV2,"Ravenswood Playground R/C",CONS,"",1790000,0,06/18
P-Q245,846 Q45,846,P-401SEAN,"Sean's Place Pk - upgrades Q444-116M",CONS,"ENERAL",682000,0,07/16
P-Q245,846 Q45,846,P-401SEAN,"Sean's Place Pk - upgrades Q444-116M",CONS,"ENERAL",68000,0,07/16
P-Q245,846 Q45,846,P-401SOC2,"Socrates Sculpture Park Building Expansion",CONS,"",600000,0,06/18
P-Q245,846 Q45,846,P-401SOC2,"Socrates Sculpture Park Building Expansion",CONS,"",261000,0,06/18
P-Q245,846 Q45,846,P-401TBDR,"Dog Run in Triborough Bridge Playground C",CONS,"",500000,0,06/18
P-Q245,846 Q45,846,P-402HART,"HART PLGD PLAY EQUIPMENT AND SPRAY SHOWER",CONS,"GENERAL",138000,0,06/17
P-Q245,846 Q45,846,P-402HART,"HART PLGD PLAY EQUIPMENT AND SPRAY SHOWER",CONS,"GENERAL",1242000,0,06/18
P-Q245,846 Q45,846,P-403TPAQ,"Travers Park - Acquisition /Expansion QG-47350-111M",SITE,"ACQUISITION",63000,0,06/18
P-Q245,846 Q45,846,P-403TPP4,"Travers Park and Staunton Play Field R/C QG-714M",CONS,"GENERAL",600000,0,06/17
P-Q245,846 Q45,846,P-403TTOT,"Travers Park Tot Lot R/C",CONS,"GENERAL",200000,0,06/17
P-Q245,846 Q45,846,P-403TTOT,"Travers Park Tot Lot R/C",CONS,"",1800000,0,06/18
P-Q245,846 Q45,846,P-404CCPS,"Moore Homestead Playground R/C Q361-115M",CONS,"GENERAL",344000,0,06/17
P-Q245,846 Q45,846,P-404CCPS,"Moore Homestead Playground R/C Q361-115M",CONS,"",3097000,0,06/18
P-Q245,846 Q45,846,P-404CCPS,"Moore Homestead Playground R/C Q361-115M",DSGN,"",4000,0,06/17
P-Q245,846 Q45,846,P-404CCPS,"Moore Homestead Playground R/C Q361-115M",DSGN,"",34000,0,06/18
P-Q245,846 Q45,846,P-404CCPS,"Moore Homestead Playground R/C Q361-115M",CNSP,"",34000,0,06/17
P-Q245,846 Q45,846,P-404CCPS,"Moore Homestead Playground R/C Q361-115M",CNSP,"",306000,0,06/18
P-Q245,846 Q45,846,P-404NTPG,"Newtown Playground",CONS,"",700000,0,06/18
P-Q245,846 Q45,846,P-405JPSS,"JUNIPER VALLEY PARK: UPGRADES TO SPRAY SHOWERS",CONS,"",466000,0,06/18
P-Q245,846 Q45,846,P-405JPSS,"JUNIPER VALLEY PARK: UPGRADES TO SPRAY SHOWERS",CONS,"",1534000,0,06/18
P-Q245,846 Q45,846,P-405STRR,"Starr Playground Upgrades",CONS,"GENERAL",500000,0,06/18
P-Q245,846 Q45,846,P-405STRR,"Starr Playground Upgrades",CONS,"",1500000,0,06/18
P-Q245,846 Q45,846,P-406LBA2,"LOST BATTALION HALL GYM FLOOR Q401",CONS,"GENERAL",773000,0,06/18
P-Q245,846 Q45,846,P-406LBA2,"LOST BATTALION HALL GYM FLOOR Q401",CONS,"",77000,0,06/18
P-Q245,846 Q45,846,P-407BHRE,"BOWNE HOUSE RESTORATION Q022-110M",CONS,"",4000,0,06/18
P-Q245,846 Q45,846,P-407BHRE,"BOWNE HOUSE RESTORATION Q022-110M",CONS,"GENERAL",2000,0,06/18
P-Q245,846 Q45,846,P-407BHRE,"BOWNE HOUSE RESTORATION Q022-110M",CONS,"GENERAL",175000,0,08/16
P-Q245,846 Q45,846,P-407BHRE,"BOWNE HOUSE RESTORATION Q022-110M",CONS,"GENERAL",175000,0,06/17
P-Q245,846 Q45,846,P-407BHRE,"BOWNE HOUSE RESTORATION Q022-110M",CONS,"",297000,0,06/18
P-Q245,846 Q45,846,P-407BTPL,"Bay Terrace Playground: Repaving of Courts",CONS,"",300000,0,06/18
P-Q245,846 Q45,846,P-407BTPL,"Bay Terrace Playground: Repaving of Courts",CONS,"",200000,0,06/18
P-Q245,846 Q45,846,P-407MAPL,"Maple Playground R/C",CONS,"",46000,0,06/17
P-Q245,846 Q45,846,P-407MAPL,"Maple Playground R/C",CONS,"",410000,0,06/18
P-Q245,846 Q45,846,P-407MAPL,"Maple Playground R/C",DSGN,"",1000,0,06/17
P-Q245,846 Q45,846,P-407MAPL,"Maple Playground R/C",DSGN,"",12000,0,06/18
P-Q245,846 Q45,846,P-407MFL2,"MARTINS FIELD CONS OF MONUMENT Q017",CONS,"GENERAL",100000,0,06/18
P-Q245,846 Q45,846,P-407MPSW,"MACNEIL PARK SEAWALL Q009-114M",CONS,"GENERAL",2000000,0,06/17
P-Q245,846 Q45,846,P-408BRIA,"Briarwood Plgd and Phil Rizzuto Park R/C QG-116M",CONS,"GENERAL",500000,0,06/17
P-Q245,846 Q45,846,P-408CPPA,"Cunningham Park Picnic Area RC Q021-115M",DSGN,"",17000,0,06/17
P-Q245,846 Q45,846,P-408CPPA,"Cunningham Park Picnic Area RC Q021-115M",CONS,"GENERAL",995000,0,06/17
P-Q245,846 Q45,846,P-408VLGH,"Vleigh Playground Upgrades",CONS,"",240000,0,06/19
P-Q245,846 Q45,846,P-408VLGH,"Vleigh Playground Upgrades",CONS,"",240000,0,06/18
P-Q245,846 Q45,846,P-408VLGH,"Vleigh Playground Upgrades",CONS,"",1120000,0,06/19
P-Q245,846 Q45,846,P-409FPG3,"FOREST PARK GREENHOUSES Q015-215M",CONS,"GENERAL",29000,0,06/17
P-Q245,846 Q45,846,P-409FPG3,"FOREST PARK GREENHOUSES Q015-215M",CONS,"",1200000,0,06/18
P-Q245,846 Q45,846,P-409FPO2,"FOREST PK RC OVERLOOK Q015-113M",CONS,"",289000,0,06/18
P-Q245,846 Q45,846,P-409FPO2,"FOREST PK RC OVERLOOK Q015-113M",CONS,"",250000,0,06/17
P-Q245,846 Q45,846,P-410EDBP,"Edward Byrne Park - Construction of Comfort Station",CONS,"",1500000,0,06/18
P-Q245,846 Q45,846,P-410EDBP,"Edward Byrne Park - Construction of Comfort Station",CONS,"",1500000,0,06/18
P-Q245,846 Q45,846,P-410FJPG,"FREDERICK JUDGE PLAYGROUND AND BB CTS.",CONS,"",9000,0,06/17
P-Q245,846 Q45,846,P-410PONI,"P.O. NICHOLAS DEMUTIS PLGD RC Q118-114M",CONS,"GENERAL",1479000,0,10/16
P-Q245,846 Q45,846,P-411APE2,"ALLEY POND ENVIRONMENTAL CENTER & CONS. OF ANNEX Q001-1",CONS,"GENERAL",1000000,0,06/18
P-Q245,846 Q45,846,P-411APE2,"ALLEY POND ENVIRONMENTAL CENTER & CONS. OF ANNEX Q001-1",CONS,"",1000000,0,06/18
P-Q245,846 Q45,846,P-411C567,"Udall's Cove Land Acquisition",SITE,"",250000,0,06/17
P-Q245,846 Q45,846,P-411OAKL,"OAKLAND LAKE RAVINE - RC PTHS AND DRAINAGE Q001-211M",CONS,"",86000,0,06/17
P-Q245,846 Q45,846,P-412HVDP,"HOWARD VON DOHLEN PLAYGROUND-RENOVATIONS Q105-112M",CONS,"",34000,0,06/17
P-Q245,846 Q45,846,P-412NORI,"Norelli-Hargreaves Park R/C",CONS,"",300000,0,06/18
P-Q245,846 Q45,846,P-412NORI,"Norelli-Hargreaves Park R/C",CONS,"",1700000,0,06/18
P-Q245,846 Q45,846,P-412RWIL,"ROY WILKINS REC CTR ROOF & SITE Q448-112M",SVCS,"",1000,0,06/17
P-Q245,846 Q45,846,P-412RWIL,"ROY WILKINS REC CTR ROOF & SITE Q448-112M",CONS,"GENERAL",574000,0,06/17
P-Q245,846 Q45,846,P-412RWIL,"ROY WILKINS REC CTR ROOF & SITE Q448-112M",CONS,"",296000,0,06/17
P-Q245,846 Q45,846,P-412RWP3,"ROY WILKINS PARK RECREATION CTR RC Q448-115M",CONS,"GENERAL",968000,0,06/18
P-Q245,846 Q45,846,P-412RWP3,"ROY WILKINS PARK RECREATION CTR RC Q448-115M",CONS,"",232000,0,06/18
P-Q245,846 Q45,846,P-413IDPK,"IDLEWILD PK MARSH NATURE CENTER Q392-210M",CONS,"GENERAL",3768000,0,06/18
P-Q245,846 Q45,846,P-413IDPK,"IDLEWILD PK MARSH NATURE CENTER Q392-210M",CONS,"",382000,0,06/18
P-Q245,846 Q45,846,P-413JH72,"VIC HANSON/JHS 72 PLGD RC Q352",CONS,"GENERAL",318000,0,06/18
P-Q245,846 Q45,846,P-413JH72,"VIC HANSON/JHS 72 PLGD RC Q352",CONS,"",32000,0,06/18
P-Q245,846 Q45,846,P-413LPL3,"Laurelton and Bayswater Playground Upgrades",CONS,"",322000,0,06/17
P-Q245,846 Q45,846,P-413LPL3,"Laurelton and Bayswater Playground Upgrades",CONS,"",278000,0,06/17
P-Q245,846 Q45,846,P-414LAN2,"LANNETT PLAYGROUND",CONS,"GENERAL",850000,0,06/18
P-Q245,846 Q45,846,P-414RBHD,"Rockaway Beach Shorefront Pkwy Handball Courts",CONS,"GENERAL",350000,0,06/18
P-Q245,846 Q45,846,P-414TRB2,"Tribute Park",CONS,"",375000,0,06/18
P-Q245,846 Q45,846,P-415MEA2,"FMCP - MEADOW LAKE- PATHS Q099",CONS,"GENERAL",682000,0,06/18
