managingagency,projectid,description,citycost,noncitycost,totalcost
819,26201201,CONEY ISLAND: RENOVATE PSYCHIATRIC ED,321000,0,321000
846,P-6PNYR28,"PLANYC - FY'15 NRG REFORESTATION QNS, MN & BX, CNYG-115M",0,321000,321000
71,HH112BEEL,BELLEVUE MEN'S RESIDENCE- ELECTRICAL SYSTEM UPGRADE,320000,0,320000
827,S136-332K,Knapp St Facility Improvements,320000,0,320000
126,ENRG205LT,NYBG - NY Botanical Garden Interior Lighting Plus,320000,0,320000
856,ENERGEC3,"DCAS - Energy Cost, Control, and Conservation (EC3) Databas",320000,0,320000
846,ACEDPR403,DPR efficient lighting @various facilities 5 bor CNYG-2415M,320000,0,320000
850,HWQ233,"RECONSTRUCTION OF BARNETT AVE, 48-52 STREETS",320000,0,320000
846,P-1PNYT19,"PlaNYC - FY15 Street Tree Planting- Bx -CB's 9-12, XG-215M",320000,0,320000
801,BEDFRDAVE,FA - Bedford Avenue - United Jewish Organization,320000,0,320000
111,XDA2NETU,Bronx DA Network Infrastructure Project,319000,0,319000
111,RDA6RDVE,RDA Video Equipment Upgrade,319000,0,319000
56,PO79BMAIE,SOD UNDERGROUND WATER PIPE SYSTEM AT FBF,318000,0,318000
801,HRDN918A,Korean American Family Service Center - Rainbow Room,318000,0,318000
846,SANDY4-08,PNP Socrates Sculpture Park,32000,285000,317000
846,P-312IHLL,INWOOD HILL PARK LITTLE LEAGUE BASEBALL FIELD LIGHTING M042,317000,0,317000
846,P-312MJME,Morris Jumel Mansion - exterior renovation M073-108M,316000,0,316000
850,HRDNHARLM,HARLEM UNITED COMMUNITY AIDS CENTER - HCH INITIAL OUTFITTIN,316000,0,316000
846,P-307RPLL,RIVERSIDE PARK -103RD &107TH ST-SYNTH TURF BFLDS M071-403M,316000,0,316000
846,P-503BPBC,Bloomingdale Pk-bocce courts improvements,315000,0,315000
111,PO185-5C,COMPACT LOADER,315000,0,315000
801,SAND1104,HHC FEMA Bellevue Hospital Center Flood Protection Barrier,0,314000,314000
850,LBC15CHHC,CLINTON HILL CONTROLS,313000,0,313000
801,PWDGOD,FA GOD'S LOVE WE DELIVER -Building Expansion 13-336684-E245,313000,0,313000
850,LBM13CHFS,CLINTON HILL FIRE SAFETY,313000,0,313000
850,SECBRPQ04,"Rebuild existing catch basins, Queens",313000,0,313000
850,CSDNNCC62,Northside Center for Child Development - SECUTITY SYSTEM,312000,0,312000
850,HWS2008R,PRIOR NOTICE SIDEWALKS - STATEN ISLAND(SIM),312000,0,312000
801,BNYINFRA,BNYDC Infrastructure,312000,0,312000
846,P-1CHARLT,Charlton Garden - rehab - X086-106MT,312000,0,312000
850,P-502WIL2,WILLOWBROOK PARK FLOOD CONTROL - PHASE II,311000,0,311000
846,P-4PNYT26,"PlaNYC FY16 Street Tree Queens 7,8,11,12 ; QG-1215M",311000,0,311000
846,P-2PLG15F,Surf - Reconstruction of Playground BG-613M,310000,0,310000
850,HL82HSS3,EQFN FOR HOSPITAL OF SPECIAL SURGERY,310000,0,310000
850,HHNC002,"WOMEN IN NEED, INC. - INFORMATION TECHNOLOGY UPGRADE",310000,0,310000
850,HWD10501A,HUGH GRANT CIRCLE - METROPOLITAN AV AND WESTCHESTER AV,310000,0,310000
71,HH115SECM,SECURITY CAMERAS VARIOUS FACILITIES,310000,0,310000
56,PO79BMAIK,FACADE AT 67TH PCT,310000,0,310000
38,LBC11RGFE,RUGBY - Furniture & Equipment,310000,0,310000
57,F212WANTR,FDNY WIDE AREA NETWORK - WIRELESS PROVISIONING FOR TRAINING,310000,0,310000
858,ECTP7TELS,ECTP e911 Telephone System Upgrade Continued Implementation,309000,0,309000
850,SEX002259,GRAND CONCOURSE svs rd swr replacemnet and rehab,308000,0,308000
826,QED1016,Water Main work in 71 Ave. between Myrtle Ave & 60 St. etc,308000,0,308000
850,HLQNEPISC,EPISCOPAL HEALTH SERVICES INC: LABOR AND DELIVERY DEPARTMEN,308000,0,308000
850,LNCA08PBY,PELHAM BAY - Exterior Renovation Including Lighting,308000,0,308000
827,S136-374N,HEATERS GAS LINES REPLACEMENT AT BROOKLYN 1 & 4,307000,0,307000
846,P-201JAME,Jaime Campiz Playground,307000,0,307000
846,P-201COOP,COOPER PARK PLAYGROUND PHASE II B025-112M,306000,0,306000
111,PO187GC2M,GAS CHROMATOGRAPH/MASS SPECT./MASS SPECT.,306000,0,306000
850,HLDNRENEW,"Project Renewal, Inc. - Vehicle Purchases",306000,0,306000
856,E13-0008,EDC - BROOKLYN CRUISE TERMINAL,305000,0,305000
850,CSDNNSIDE,Northside Center for Child Development - Technology,305000,0,305000
801,CONEYST,Coney Island Streetscape Improvements,305000,0,305000
850,EDKNBSHGR,Bedstuy Campaign Against Hunger - Vehicle Purchase,304000,0,304000
850,SANDMNGAR,SANDY DAMAGES MANHATTAN 1/2/5 GARAGE,-38000,342000,304000
846,P-6DPRLMS,NYC Parks Learning Management System (LMS),304000,0,304000
856,CO283FIRE,100 CENTRE ST.- FIRE SAFETY,303000,0,303000
856,PWK2MEDIA,209 JORALEMON ST.- BKLYN BORO HALL MEDIA ROOM,303000,0,303000
801,PV815HSG,Hudson Guild -- 13-556298-V8743,303000,0,303000
850,BED-782,"Reconstuction of water main and combined sewer, Tillary st",303000,0,303000
816,CMEITPC,OCME - IT Upgrade of Computers for OCME Sites,303000,0,303000
806,HAM08RUHI,RUTGERS HOUSES ENERGY INITIATIVES,303000,0,303000
856,PW357MOC1,253 BROADWAY - 9TH FL FURN EQ FOR MOCS SPACE,302000,0,302000
850,HLDNPLAND,PLANNED PARENTHOOD OF NEW YORK CITY - OUTFITTING,302000,0,302000
42,KG203-006,Gymnasium,302000,0,302000
841,HBC1302,REHAB OF PARKS BRIDGES CITYWIDE,302000,0,302000
57,F109SUP13,SUPPORT VEHICLES,302000,0,302000
801,B&GCMETRO,Boys and Girls Club of Metro Queens,302000,0,302000
850,ACEDCA436,DCLA: MMA Air Handlier Replacement JHVAC-4,302000,0,302000
111,OOM6UPGR,Mayor's Office PC and Phone Upgrade,301000,0,301000
71,HHCN007,INSTALLATION OF BACKUP GENERATOR,301000,0,301000
126,PV209-SEC,JCM - Jewish Childrens Museum Security Cameras,300000,0,300000
42,MC040-018,LED Conversion in Public Areas,300000,0,300000
856,PWCN900,city council telephone system,300000,0,300000
826,26W-144-L,INSTALLATION OF (13) NEW CENTRIFUGES @ 26TH WARD WPCP,300000,0,300000
42,HU028-015,Black Box Performance Space,300000,0,300000
801,PV072EMPR,BHS - Brooklyn Historical Society Sattelite Gallery at EMP,300000,0,300000
806,HAM16ITGR,INDEPENDENCE TOWERS GROUNDS IMPROVEMENTS,300000,0,300000
801,BAMPARK,BAM Park Renovation,300000,0,300000
111,DOIT6OCDV,Family Justice Center CISP Applications,300000,0,300000
42,JJ017-014,Green IT Equipment Upgrades - Phase 2,300000,0,300000
806,HAM17CRGR,CORSI HOUSES SITTING AREA FOR SENIORS,300000,0,300000
819,21201751,819 21201751 819 21201751 JACOBI: PURCHASE NEW MRI,300000,0,300000
806,NHABPASS,Passive House - Habitat for Humanity NYC,300000,0,300000
801,BNYNAVYST,BNYDC Navy Street,300000,0,300000
846,P-6PDPLPB,Recon of plumbing systems in pools - Citywide CNYG - 915M,300000,0,300000
72,C75-ION,PURCHASE OF ION SCANNERS FOR DRUG INTERDICTION PROGRAM,300000,0,300000
806,HAM15FTGD,FORT INDEPENDENCE - HEATH AVENUE REHAB PARK,300000,0,300000
42,MC036-016,Perimeter Security Lighting,300000,0,300000
57,F212911PF,Private Fire Alarm Refresh,300000,0,300000
806,BVIEW,WASHINGTON BRIDGE VIEW,300000,0,300000
71,HHCN001,BROOKLYN NEIGHBORHOOD IMPROVEMENT DIST.-BEDFORD AVE. RENOVA,300000,0,300000
846,P-6PNYR31,"PlaNYC - FY16 NRG Reforestation the Bronx & Queens,",300000,0,300000
841,HWD10312,Safety Improvements at St. Margaret's School,300000,0,300000
841,SIGNALSFY,"TRAFFIC SIGNALS SAFETY, CITYWIDE",300000,0,300000
806,HAM17MUGR,MURPHY HOUSES GROUNDS RENOVATION,300000,0,300000
846,P-307BFHB,"BOOKER T WASHINGTON PLGD FENCE, HB & BKBL CT RECON M200",300000,0,300000
42,HC026-011,Phone System Upgrade And Expansion,300000,0,300000
826,SHAFT21,"RECONSTRUCTION OF SHAFT 21, MANHATTAN, Cont., 602",300000,0,300000
846,P-300ZOO7,CPZ RED PANDA REFURBISHMENT,300000,0,300000
846,P-1WDLNSS,Woodlawn Playground - Spray Shower,300000,0,300000
126,PV656-EXT,GRHS - Onderdonk House Exterior Restoration,300000,0,300000
42,BX034-015,Bliss Hall ADA Accessibility Improvements,300000,0,300000
57,F212911CB,Call Box Testing Upgrade,300000,0,300000
819,13201501,HARLEM: UPGRADE VENTILATION SYSTEM IN THE BOILER ROOM,300000,0,300000
850,PWDBXPARE,"Bronx PARENT HOUSING NETWORK, INC. - VAN",300000,0,300000
806,162WHEDCO,WHEDCO - 435 E. 126nd Street,300000,0,300000
42,JJ018-014,Green IT,300000,0,300000
850,HWP2011Q,CITYWIDE PED RAMPS - QUEENS,300000,0,300000
111,PO46-2,INTERGRAPH INFORMER MIGRATION TO WEB SERVICES,300000,0,300000
806,HAM16BSGD,BOSTON SECOR PLAYGROUND RENOVATION,300000,0,300000
801,PWD9RBIT,FA - YMCA NYC Roberta Bright,300000,0,300000
846,P-3RIVERS,RIVERBANK STATE PARK -COMMUNITY GREENHOUSE,300000,0,300000
806,HAM06FWUP,FORT WASHINGTON HOUSES SERVICES FOR THE ELDERLY,300000,0,300000
846,P-303ASRC,Al Smith Rec Cntr-replace a/c & new windows,300000,0,300000
57,F109DUM17,DUMP TRUCK,300000,0,300000
37,LNCA16SDW,New Roof,300000,0,300000
819,12201601,JUDSON HEALTH CENTER ROOF REPLACEMENT,300000,0,300000
42,CC015-008,"RENOV FACULTY RESEARCH LABS, SOPHIE DAVIS SCHL OF BIO-MED E",300000,0,300000
846,P-1PNYT20,"PlaNYC- FY16 Street Tree Bronx CB 9-12, XG-615M",300000,0,300000
819,29201644,KCHC: UPGRADE NEUROSURGICAL OPERATING MICROSCOPE,300000,0,300000
806,HAM16WYGR,WYCKOFF GARDENS GROUNDS IMPROVEMENTS,300000,0,300000
841,HWD10324,Parsons Blvd & 84th Ave & Hoover Ave Ped Safety Improvement,300000,0,300000
850,HLDN41REP,HATZOLAH INCORPORATED - REPURPOSED FUNDS,300000,0,300000
96,HRCNSJMSC,South Jamaica MSC renovation,298000,0,298000
850,PWDNSAFEH,Safe Horizon - Telephony Network,298000,0,298000
850,HWXP134,BRONX QUAD (EAST FORDHAM RD),298000,0,298000
850,BED-797,"wm & Comb swr replacment. Williamsbug bridge plaza, bklyn",298000,0,298000
846,GQBB06-02,FY13 GI - Flushing Bay SGS ROWB,297000,0,297000
801,ERIVERSPS,East River Science Park - Street work,296000,0,296000
846,P-207SUNS,SUNSET PARK PLAYGROUND RC B087-112M,296000,0,296000
850,SEX002245,W/M & SEWER WORK IN SOUTHERN BLV (HED-553),296000,0,296000
819,JMC1,JMC: MODERNIZATION PROJECT - PHASE I,296000,0,296000
850,HLQNLIJCT,LIJ MEDICAL CENTER - NEW HYDE PARKS - PORTABLE X RAY,296000,0,296000
856,PW340GEN,BOARD OF ELECTIONS GENERATOR CONNECTION,296000,0,296000
819,67200901,COLER: RENOVATE THE NURSING FACILITY DAY ROOM,296000,0,296000
846,P-1VCPKEN,Van Cortlandt Park Entrance Construction,296000,0,296000
846,P-6POOL11,"Reconstruction the pools, Citywide CNYG-1011M",296000,0,296000
850,HL82SIU,STATEN ISLAND UNIVERSITY HOSPITAL,295000,0,295000
846,P-1CROT36,PELHAM PARKWAY MALLS X003-107M,295000,0,295000
850,SE-166-B6,RECONSTRUCTION OF CEMENT PIPE SEWERS,295000,0,295000
819,11200906,BELLEVUE: CONSTRUCT NEO-NATAL INTENSIVE CARE UNIT (NICU),295000,0,295000
850,PV176-LIO,WCS BRONX ZOO - Lion House Reconstruction,295000,0,295000
819,SAND2606,CIH: RESTORATION OF THE FIRE ALARM SYSTEM,0,294000,294000
846,SANDY2-32,Paerdegat Squadron Yacht Club,30000,264000,294000
42,BX014-091,Develop New Child Development Center,100000,194000,294000
846,P-303CRHP,Corlear's Hook Park,294000,0,294000
111,PO187-PC9,SECURITY SYSTEM- PEARSON PLACE/KINGSLAND AVE WAREHOUSES,293000,0,293000
850,HED-569,Replacement of Trunk WM in Bainbrdige Ave,293000,0,293000
850,LQD122-MG,McGoldrick - HVAC & Controls,293000,0,293000
819,34200641,QHC: PURCHASE PET/CT CT SCANNER AND BUILD-OUT SUITE,293000,0,293000
850,PV302-H2,SIIAS - Building H Climate Control,292000,0,292000
846,P-412MAR1,MARCONI PK RC PLGD Q127 -112M,291000,0,291000
850,QED-1022,Replcmnt of Water Mains in former Jamaica Water Supply a,0,291000,291000
850,PWDLEAKEW,"LEAKE AND WATTS SERVICES, INC. EQUIPMENT AND IT",290000,0,290000
57,F109MCT17,Mechanic Utility Trucks,290000,0,290000
841,TFK50313,Historic Lighting on Broadway btw Roebling and Bedford,290000,0,290000
850,LNCA15SPK,New Boiler,289000,0,289000
856,CO283TC,100 CENTRE ST.- TRASH COMPACTOR,289000,0,289000
850,PW326DDC3,DDC - 30-30 THOMPSON AVE.- EXPANSION,288000,0,288000
801,SIHOMEPT,Staten Island Homeport Emergency Bulkhead Work,36000,252000,288000
850,SE-807,STORM & SAN SEWERS IN 20TH AVE B/T126 ST & US BULKHEAD LIN,287000,0,287000
850,HLDNCORNL,CORNELL UNIVERSITY FOR WEILL CORNELL MEDIICAL COLLEGE,287000,0,287000
126,PV430-THR,Thirteen WNET Copier,287000,0,287000
846,P-301BURL,BURLING SLIP - IMAGINATION PLGD MG-41100-107M,287000,0,287000
111,DOR7NETW,DOR Network Infrastructure Upgrade,286000,0,286000
850,HWS2010Q,PRIOR NOTICE SIDEWALKS - QUEENS (SIM),286000,0,286000
846,P-1PNYSP5,PlaNYC - Schoolyards to plgr (XG-110MA PlaNYC),286000,0,286000
850,LQ122-W,Whitestone - Selected Masonry,285000,0,285000
819,26201321,CIH & IDA ISRAEL HC: UPGRADE TELECOMMUNICATION SYSTEM,285000,0,285000
126,PV175-ZOO,SIZ - Staten Island Zoo Animal Medical Equipment,285000,0,285000
42,CA040-014,Macaulay Honors College Classroom Upgrades,285000,0,285000
801,LCPROGMAN,LCPA - FA - Lincoln Center Program Manager,285000,0,285000
850,PV540-MOM,MOMA - Museum of Modern Art Reconstruction/Expansion,285000,0,285000
841,HBRC036,REPLACEMENT OF CULVERT @ GALLOWAY AVE/MARIANNE ST - R-00010,284000,0,284000
846,P-408TILL,CAPTAIN TILLEY PK-RENOVATIONS OF LANDSCAPE Q052-112M,284000,0,284000
827,S136-264K,Staten Island 2 Roof Replacement,283000,0,283000
850,LQD122-BW,Briarwood - Roof Replacement,283000,0,283000
39,LQD122TEL,TELECOMMUNICATIONS- SYSTEM WIDE,283000,0,283000
42,NY005-008,TECHNOLOGY UPGRADES,282000,0,282000
850,AGDNMETRO,METROPOLITAN COUNCIL ON JEWISH POVERTY - VEHICLE PURCHASE,282000,0,282000
850,FOODBANK4,Food Bank For New York City - MOBILE OUTREACH CENTER,281000,0,281000
111,PO187-FIP,FORENSIC IMAGE PROCESSING SYSTEM,281000,0,281000
850,HD-161E,GATEWAY ESTATE - PHASE E,281000,0,281000
850,SEQ200523,"STRM & SAN SWR IN NEW HAVEN B/T B22 ST & GRASSMERE TERRACE,",280000,0,280000
111,FISA5CASU,FISA Financial Systems Infrastructure Upgrade,280000,0,280000
846,P-303BRCS,BRC Senior Center Doors & Windows M105-,280000,0,280000
850,PWK497STF,ST. FRANCIS COLLEGE - AV/LIGHTING UPGRADES TO THEATER SPACE,280000,0,280000
111,FISACTIME,FISA - CityTime Datacenter Infrastructure Upgrade,280000,0,280000
126,PV332POP3,POP - Poppenhusen Bathroom Renovation,280000,0,280000
111,DCP5UPGR,DCP Infrastructure Upgrade,279000,0,279000
826,SEQ002711,Combilned Sewer in Main Street betwwen 40th Road and 41 St,278000,0,278000
111,FISAXFMSA,"FMS - Financial Mgt System, Advantage 3.0 FY 2010",278000,0,278000
850,ACEDOS501,DSNY - LIGHTING DEBUNDLING PROJECTS,278000,0,278000
850,HWXP2022,RECONSTRUCTION OF CONNER STREET BULKHEAD,278000,0,278000
850,ROADNYC2,Make the Road NY - NEW COMPUTER SYSTEM,277000,0,277000
850,PWKNGWHF,Green-Wood Historic Fund: Initial Outfitting of Weir Greenh,277000,0,277000
846,P-3PNYC04,PlaNYC - Ft. Washington HRVG / Dyckman ADA Ramp (MG-609M),276000,0,276000
111,DOIT5TLC2,DoITT TLC LARS Base Affiliation Change,275000,0,275000
71,HLCN014,"PROJECT RENEWAL , INC. - NEW PROVIDENCE BACKUP GENERATOR",275000,0,275000
801,ESSEXCI,Essex Street Market Capital Improvements,275000,0,275000
801,CPCDRAIN,College Point - Drainage Rehab,275000,0,275000
42,BA023-018,VIDEO CONFERENCING SYSTEM,275000,0,275000
39,LQFHREAD,FOREST HILLS OUTDOOR READING SPACE,275000,0,275000
827,S222-420T,MedSystem Patient Dashboard,275000,0,275000
850,HW2CR11B,CITYWIDE MILLING - BRONX AND MANHATTAN,275000,0,275000
850,CO278CONV,360 ADAMS ST.- CONVERSION TO CIVIL COURT,275000,0,275000
42,GR025-018,IT Resources to Support Teaching Learning,275000,0,275000
819,27201515,CUMBERLAND: RENOVATE WOMEN'S HEALTH SVCS DEPT.,275000,0,275000
42,JJ026-017,STEM Lab Improvements,275000,0,275000
850,HWMCLARK,RECONSTRUCTION OF CLARKSON STREET FOR BIKE NETWORK,275000,0,275000
846,P-2PLG14A,"MULTISITE - J.ROBINSON, COLONEL D. MARCUS BG-214M",275000,0,275000
850,PV467ANY4,ART/NY - 138 South Oxford Exterior Renovations Phase 2,275000,0,275000
42,JJ023-017,Upgrades of IT Equipment/ADA compliance,275000,0,275000
111,OATH7CJRA,OATH Criminal Justice Reform Act,275000,0,275000
850,PWDNFRANK,St. Francis College - Equipment Purchases,275000,0,275000
850,HLDNBARNA,St. Barnabas Hospital - Equipment Purchases,274000,0,274000
846,SANDY5-28,"Sandy-FDR bdwk & Midland Plgr-R/C of tthe pavements,etc",28000,246000,274000
850,HLQNFORES,FOREST HILLS HOSPITAL- MEDICAL EQUIPMENT,274000,0,274000
850,P-4ASTRPL,Astoria pool sanitary connection,273000,0,273000
846,SANDY3-17,SANDY- E.River Esplanade (Glick Park)-Elec (Type 3),27000,246000,273000
846,P-6PBBP15,FY15 Recon plumbing system in bldg & pool CW CNYG-1415M,273000,0,273000
819,27201201,CUMBERLAND: RENOVATE CHEMICAL DEPENDENCY DEPARTMENT,273000,0,273000
850,PWDNSAFFE,SAFE HORIZON - EQUIPMENT,273000,0,273000
850,PWDNCHILD,Ohel Children's Home and Family Services - E/P,272000,0,272000
850,F175COMP6,VARIOUS COMPONENT WORK FY'06,272000,0,272000
856,PW77DAK01,NY COUNTY DA'S OFFICE FIRE UPGRADES,272000,0,272000
846,P-310HBRC,Hansborough Recreation Center,272000,0,272000
846,P-306ALRR,Asser Levy Rec Ctr-new ramp,272000,0,272000
846,P-5MAPLWD,Maple Woods-Passive landscape,272000,0,272000
841,TF18-2022,BELMONT MUNICIPAL PARKING FIELD,272000,0,272000
819,01199601,DOH CLINIC CODE CORRECTIONS,272000,0,272000
846,P-501WEST,"Westerleigh Pk-Renovation, Erosion R029-111M",272000,0,272000
846,P-3HBCGRD,Highbridge Community Garden,272000,0,272000
816,HL82MOAC,Bronx and Queens Mobile Adoption Centers,272000,0,272000
858,DOIT2PUMP,DoITT Privileged User Management Project,271000,0,271000
42,MC202-006,Emergency First Response Program,271000,0,271000
850,LNCM12NDP,New Dorp:Fire Safety,271000,0,271000
856,PW326ZM09,CBMN - MANHATTAN COMMUNITY BOARD 9,271000,0,271000
826,VOIP-SYS,Installation of VOIP system at BWS Sutton Park office,270000,0,270000
850,PV241MOD3,"MCNY - Modernization and Preservation, Phase 3",253000,17000,270000
801,PV230-SHA,FA - WCS - New York Aquarium,269000,0,269000
826,SEWER-08,"FAD 08-12 - SEWER SYSTEM EXTENSIONS (WOH),UPSTATE",268000,0,268000
846,P-1CROT42,STORY PLAYGROUND RC OF P. S. 100 X204-106M,268000,0,268000
858,DOIT2ALCM,DoITT Asset Life Cycle Management,268000,0,268000
806,HAM06MHEL,Manhattanville Houses Elevators,267000,0,267000
57,F175TE264,TOILET REPLACEMENT - EC264,266000,0,266000
850,PV467SRA1,SRAC - Seventh Regiment Armory Conservancy Heating Plant,266000,0,266000
850,AGQNCOUNC,Chinese-American Planning Center - I/O,266000,0,266000
850,LBC12ARRF,ARLINGTON - Roof Replacement,265000,0,265000
827,S136-281C,Female Locker Rooms Manh 8 and Bklyn 16,265000,0,265000
37,LNCA11TEK,SYSTEMWIDE - Security Systems,265000,0,265000
846,P-104DRUN,Nelson Plgd. SW Lot Acq for Dog Run,265000,0,265000
850,PW317WOR,125 WORTH STREET - FACADE REPAIRS,264000,0,264000
850,HLDNRICHA,RICHMOND UNIVERSITY MEDICAL CENTER - AMBULANCES,264000,0,264000
846,P-4TRE16A,"FY16 Street Tree Queens 1-6, QG-1115M",264000,0,264000
841,TD19-9912,Commercial Bike Unit Inspection Application,264000,0,264000
37,LNME16MFL,Microfilm Readers,264000,0,264000
850,SEX002258,NEW COMB SWR IN PRATT AVE,264000,0,264000
850,HLDN68FTG,PUBLIC HEALTH SOLUTIONS - FORT GREENE MIC I/O,264000,0,264000
856,PWMN80PIT,"Grand Street Settlement, Inc.: 80 Pitt Street Renovation",263000,0,263000
111,PO163DTC3,NEW DATA CENTER SOFTWARE AND SERVICES,263000,0,263000
72,C75HMDREL,Relocate HMD to Bulova Building,263000,0,263000
850,HWS2012K,PRIOR NOTICE SIDEWALKS - BROOKLYN,262000,0,262000
846,P-218D17M,MARINE PARK LENAPE PLAYGROUND (FY08 FUNDS),262000,0,262000
850,PV467DOWN,DOWN - Downtown Art/Alpha Omega Youth Center Project,262000,0,262000
850,HAM16MRCC,WEEKSVILLE GARDENS - BROOKLYN KINDERGARTEN SOCIETY,261000,0,261000
841,HBINSPSSC,South Stuy Cove - Captain Brown Walk,261000,0,261000
858,DOIT4VOIC,DoITT Citywide VoIP Implementation Phase 1,260000,0,260000
841,HWMMPEDSW,MULTI-MODAL #2 - 2000 PED RAMPS AND SIDEWALK,0,260000,260000
850,PV467BHPE,BHS - Permanent Exhibition Space,260000,0,260000
126,PV784-GWH,GWHF - Green-Wood Historic Fund -Trolley,260000,0,260000
850,LNCA15BLD,Electrical Systems,260000,0,260000
850,PW335BSLS,Bulk Sampling Lump Sum,259000,0,259000
57,F109FLAT5,HEAVY DUTY FLAT BED REPLACEMENT,259000,0,259000
850,SE-LC-17,Emergency lining of sewers citywide,259000,0,259000
56,PO79BMAIF,110TH FACADE,259000,0,259000
858,DOIT1DEEP,DoITT Data Element Exchange Project,258000,0,258000
801,HBPD200KA,PED BRIDGE - WEST 8 ST (BIN 2269260),257000,1000,258000
111,XDA7STAF,Bronx DA Computer Equipment,258000,0,258000
850,AGDNMETRC,METROPOLITAN COUNCIL ON JEWISH POVERTY - TRACKING SYSTEM,257000,0,257000
37,LNCA11SIT,STATEN ISLAND - Boroughwide Technology,257000,0,257000
801,NYRPSHECR,New York Restoration Project Sherman Creek Park,257000,0,257000
125,AGSNPVH,"Service for Now Adult Person, Inc. Ambulance",257000,0,257000
850,SEQ200436,"Storm & San Sewers in Lake View Blvd E, bet 118 Av & 122 Av",256000,0,256000
850,PWD5SHOR,SOUTH SHORE BABE RUTH LEAGUE,256000,0,256000
42,BX026-013,ADA Entrance Ramps,256000,0,256000
846,SANDY5-36,SANDY - FDR BOARDWALK,26000,230000,256000
850,LNCA12RSD,RIVERSIDE - New ADA Compliant Entry / Vestibule,255000,0,255000
126,PVMMI-EQ,MMI - IT Equipment and Upgrades,255000,0,255000
801,FOODBANK,FA - Food Bank for New York City,255000,0,255000
126,PV694-SEA,SEA - Society for the Educational Arts Interior Reconstr.,254000,0,254000
111,PO163-AVL,MOBILE AVL SYSTEM,254000,0,254000
850,HLDNPRIMC,ODA Primary Health Care Network - Vehicle Purchases,254000,0,254000
856,ACECAS501,DCAS - 215 E161ST STREET MECHANICAL ROOM LIGHTING,254000,0,254000
801,BMBSLIP5,BMB Slip 5 Rehabilitation,253000,0,253000
846,SANDY4-21,SANDY-FOREST PARK GREENHOUSE BROKEN GLASS REPLACEMENT,25000,228000,253000
850,MED-590,TRUNK MAINS IN W 85 ST & W 100 ST - E & W OF COLUMBUS AV,252000,0,252000
111,PO187-8,DELTA CRASH BARRIERS,252000,0,252000
850,LBM13RDFS,RYDER FIRE SAFETY,252000,0,252000
850,HL82RCHU1,RICHMOND UNIVERSITY HOSPITAL,252000,0,252000
846,P-309MSPK,Morningside Park,252000,0,252000
42,SAND-KG02,HVAC Repair/Replacement - Sandy Related,251000,0,251000
841,TFM50316,Frederick Douglas Blvd Street Lamps,251000,0,251000
42,MC012-003,VIRTUAL LIBRARY,251000,0,251000
850,SECBRPQ03,RECONSTRUCTION OF CATCH BASINS,250000,0,250000
806,HAM18EATR,Renovation of East Tremont Childcare Center,250000,0,250000
806,W52REHAB,775-777 10th Avenue Rehab,250000,0,250000
850,PW308TOPO,"SCANNERS, TOTAL STATIONS , RELATED SYSTEMS for SITE ENG",250000,0,250000
42,CA051-016,CUNY TV - TV Van Equipment Replacement,250000,0,250000
806,HAM17BVTV,BAYVIEW HOUSES SECURITY CAMERAS,250000,0,250000
846,SANDY2-26,Prospect Pk - Lily Pond & Pool Viewing Platform Repair,25000,225000,250000
42,CA047-015,Macaulay Honors College - Server Room HVAC Upgrade,250000,0,250000
819,25201301,LINCOLN: EXPAND DENTAL HEALTH SERVICES,250000,0,250000
71,HH112FWFR,FORT WASHINGTON ARMORY-DORMITORIES FLOOR REPLACEMENT,250000,0,250000
846,P-3HARLEM,Harlem River Park -- Renovate Courts,250000,0,250000
846,P-3PEDB81,Carl Schurz Park Recon. of ADA Ramp on 82nd &Cons. 83rd (M,250000,0,250000
42,HS034-007,450 Grand Concourse Theater Improvements,250000,0,250000
850,PWKNSEPHA,SEPHARDIC COMMUNITY CENTER--SECURITY UPGRADE,250000,0,250000
42,BX039-016,Alumni Gym Locker Room Accessibility Improvements,250000,0,250000
57,FR109STRM,ALL TERRAIN STORM VEHICLE,250000,0,250000
846,P-206OLDS,WASHINGTON PK OLD STONE ANNEX B111,250000,0,250000
806,HAM17SBTV,Sheepshead Bay Houses -- Beautification/Security Cameras,250000,0,250000
850,PWDNHARLM,East harlem Scholars Academy - Equipment Purchases,250000,0,250000
42,JJ020-016,Wireless Upgrade,250000,0,250000
42,KG041-017,Upgrade to College Marina,250000,0,250000
846,P-302GLAF,DEP Shaft Site -- Grand & Lafayette Streets,250000,0,250000
42,HS056-018,Upgrade Electrical service,250000,0,250000
850,HLDN42WEL,ODA Primary Health Care Network - MULTI SPECIALTY WELLN,250000,0,250000
42,QB200-006,Upgrade Electric System,250000,0,250000
806,HAM17NSTV,NOSTRAND HOUSES SECURITY CAMERAS,250000,0,250000
846,P-4ASPCGM,Astoria Park Picnic and Gaming Tables,250000,0,250000
42,CC034-016,Computer Lab Renovation,250000,0,250000
846,P-206PARK,Park Slope Playground- Basketball courts,250000,0,250000
826,CRO-554,east branch dam engineering for remediation,250000,0,250000
42,BX038-016,Lowe Hall ADA Accessibility Improvements,250000,0,250000
850,LBC17PCFS,PACIFIC LIFE & FIRE SAFETY,250000,0,250000
856,HR25WTCC,HRA - 4 WORLD TRADE CENTER,250000,0,250000
